timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
25272000,-0.00079874665,-0.022104252,-0.017310541,4000,0,-0.06943185,0.021547996,-10.226832,4000,0
25276000,-0.005326261,-0.0071905083,-0.014114793,4000,0,-0.035913024,-0.014365031,-10.299858,4000,0
25280000,-0.011717895,0.0002663614,-0.0055926675,4000,0,0.013168109,-0.04189836,-10.342951,4000,0
25284000,-0.013315785,0.012250549,-0.0047937375,4000,0,0.021547817,-0.038307056,-10.326194,4000,0
25288000,-0.009587359,0.025566343,-0.004527448,4000,0,0.0023942022,-0.016759235,-10.271128,4000,0
25292000,-0.0037284074,0.031957936,-0.0034621793,4000,0,0.0047884043,-0.017956333,-10.249579,4000,0
25296000,-0.006125295,0.03408847,-0.0058589317,4000,0,0.008379707,-0.019153439,-10.287887,4000,0
25300000,-0.009587382,0.03142531,-0.005592594,4000,0,0.0047884043,-0.04189836,-10.344151,4000,0
25304000,-0.002929508,0.021038957,-0.0066579385,4000,0,-0.017956514,-0.08259978,-10.347742,4000,0
25308000,0.0018641376,0.004793674,-0.012250559,4000,0,-0.03232173,-0.05865777,-10.30704,4000,0
25312000,0.0023968013,-0.009054758,-0.0045273835,4000,0,0.004788405,-0.014365031,-10.317814,4000,0
25316000,0.0045273425,-0.01251687,0.004527379,4000,0,0.025139123,-0.040701248,-10.3609085,4000,0
25320000,0.0074568675,-0.01384843,0.0013315906,4000,0,0.0059855045,-0.06584038,-10.364502,4000,0
25324000,0.0061252755,-0.019707393,0.0010652435,4000,0,0.0035913023,-0.027533142,-10.344151,4000,0
25328000,0.008522081,-0.025033731,0.0069242236,4000,0,-0.0071826056,-0.0035911226,-10.326194,4000,0
25332000,0.016245265,-0.025033709,0.0090548135,4000,0,-0.051475346,-0.017956333,-10.326194,4000,0
25336000,0.013049545,-0.018109458,1.0511699e-08,4000,0,-0.041898537,-0.04908095,-10.359711,4000,0
25340000,0.007989542,-0.00745681,-0.009587364,4000,0,0.005985504,-0.07661428,-10.381258,4000,0
25344000,0.007723189,-0.0015978931,-0.0106526315,4000,0,-0.016759416,-0.07422008,-10.400412,4000,0
25348000,0.007456849,-0.0013315991,-0.0031957934,4000,0,-0.067037664,-0.04429255,-10.415975,4000,0
25352000,0.008788432,0.0015978707,0.006657911,4000,0,-0.065840565,-0.011970826,-10.386049,4000,0
25356000,0.010119992,0.011451595,0.0077231964,4000,0,-0.02633622,-0.009576627,-10.363304,4000,0
25360000,0.013315786,0.019441087,0.0077231824,4000,0,-0.009576809,0.003591483,-10.370485,4000,0
25364000,0.012250553,0.012783177,0.00665788,4000,0,-0.038307235,0.020350896,-10.392035,4000,0
25368000,0.0042610415,0.0010652884,-0.0034621235,4000,0,-0.053869545,0.0047885855,-10.393231,4000,0
25372000,0.006391578,-0.0061252657,-0.008788444,4000,0,-0.013168109,-0.013167929,-10.395626,4000,0
25376000,0.014913689,-0.008788465,-0.005326311,4000,0,0.027533323,-0.037109952,-10.415975,4000,0
25380000,0.0085221045,-0.008522126,-0.001065282,4000,0,0.029927526,-0.06344617,-10.43154,4000,0
25384000,-0.00053264236,-0.013315813,0.0018641734,4000,0,0.02633622,-0.033518646,-10.437523,4000,0
25388000,0.0069242264,-0.014647384,0.00053266535,4000,0,0.01436521,0.028730605,-10.415975,4000,0
25392000,0.016245328,-0.012783154,-0.00825575,4000,0,0.013168109,0.046687122,-10.430342,4000,0
25396000,0.01571268,-0.011717879,-0.013848436,4000,0,0.027533323,0.014365395,-10.4471,4000,0
25400000,0.015180012,-0.0071905707,-0.006657881,4000,0,0.017956512,-0.05267226,-10.4399185,4000,0
25404000,0.012250532,-0.006125289,-0.0018642145,4000,0,-0.0023942022,-0.07661428,-10.4566765,4000,0
25408000,0.009853694,-0.00772317,-0.0007989599,4000,0,-0.016759414,-0.026336038,-10.474632,4000,0
25412000,0.012783163,-0.006657918,0.0034621207,4000,0,-0.03351883,0.015562495,-10.492589,4000,0
25416000,0.014381067,-0.0047936933,0.004527386,4000,0,-0.03232173,0.0059856875,-10.492589,4000,0
25420000,0.018908456,-0.005059966,-0.0023968394,4000,0,-0.011971008,-0.014365029,-10.480619,4000,0
25424000,0.023968466,-0.008255755,-0.01038634,4000,0,0.0023942022,-0.015562129,-10.473435,4000,0
25428000,0.025566338,-0.0069242697,-0.004793675,4000,0,-0.005985504,-0.026336038,-10.473435,4000,0
25432000,0.020506341,0.0013315298,0.002130588,4000,0,-0.034715924,-0.02753314,-10.485407,4000,0
25436000,0.014114756,-0.0013315744,0.0005326169,4000,0,-0.04668694,-0.0071824235,-10.457875,4000,0
25440000,0.015712654,-0.007989467,-0.0029295087,4000,0,-0.051475346,0.013168291,-10.43154,4000,0
25444000,0.015712675,-0.0007989232,-0.00772313,4000,0,-0.05985505,0.043095816,-10.448298,4000,0
25448000,0.012516858,-0.0015978776,-0.009853702,4000,0,-0.033518832,0.025139306,-10.5273075,4000,0
25452000,0.010386286,-0.01438107,-0.008788486,4000,0,-0.010773908,-0.049080946,-10.715252,4000,0
25456000,0.008788426,-0.012516864,-0.006391589,4000,0,-0.0023942022,-0.056263555,-10.884041,4000,0
25460000,0.01278318,-0.0023968653,-0.002396799,4000,0,0.008379708,-0.007182414,-10.981009,4000,0
25464000,0.01837581,-0.00053265155,0.0010652769,4000,0,-0.0035913025,-0.0023940098,-11.031286,4000,0
25468000,0.01731055,-0.0034621116,0.0013315624,4000,0,-0.04070143,-0.029927334,-11.024101,4000,0
25472000,0.010652643,-0.00559266,0.004527355,4000,0,-0.053869545,-0.03830704,-11.024101,4000,0
25476000,0.007989475,-0.004261079,0.00905475,4000,0,0.0011970999,-0.02513893,-11.004948,4000,0
25480000,0.013582122,-0.004527359,0.009321072,4000,0,0.0071826046,-0.022744726,-10.967838,4000,0
25484000,0.019441096,-0.010119989,0.007989468,4000,0,-0.025139121,-0.044292543,-10.982204,4000,0
25488000,0.02237057,-0.008788391,0.0026631798,4000,0,0.0011971008,-0.03830704,-11.018118,4000,0
25492000,0.01651161,0.00053266686,-0.0026631092,4000,0,0.029927524,0.0035914946,-11.032482,4000,0
25496000,0.007989487,0.0042610625,-0.002130507,4000,0,0.016759414,0.010774102,-11.042059,4000,0
25500000,0.01358212,0.0021305266,-0.002663175,4000,0,0.015562313,-0.017956322,-11.058819,4000,0
25504000,0.016777908,-0.0010652479,-0.006924237,4000,0,0.047884032,-0.011970816,-11.0372715,4000,0
25508000,0.009054737,-0.005592638,-0.0039947703,4000,0,0.039504327,0.033519022,-11.010935,4000,0
25512000,0.0071905213,-0.009587393,0.00079893274,4000,0,0.0035913028,0.03591322,-11.013329,4000,0
25516000,0.011451598,-0.0119842235,-0.00026630846,4000,0,-0.01436521,1.9190543e-07,-10.995371,4000,0
25520000,0.0138484435,-0.0141147515,-0.0015978955,4000,0,-0.008379708,-0.009576616,-10.979809,4000,0
25524000,0.010918962,-0.012783172,-0.0018642208,4000,0,0.0011971011,-0.009576616,-10.976217,4000,0
25528000,0.016777903,-0.0066579194,0.001597944,4000,0,0.0035913025,-0.04668675,-10.940305,4000,0
25532000,0.023702128,-0.0013315845,0.002929523,4000,0,0.023942018,-0.065840356,-10.912771,4000,0
25536000,0.019441083,-0.0053263223,0.002396812,4000,0,0.038307235,-0.041898347,-10.935518,4000,0
25540000,0.018908449,-0.005592643,0.002929475,4000,0,0.055066645,-0.03710994,-10.93791,4000,0
25544000,0.014381061,0.0031957862,0.0034621567,4000,0,0.083797075,0.001197292,-10.9103775,4000,0
25548000,0.0039947457,0.0015978747,0.005592642,4000,0,0.06584056,0.03591322,-10.934321,4000,0
25552000,0.0047936994,-0.004261051,0.0013315723,4000,0,0.029927526,-0.0023940103,-10.953475,4000,0
25556000,0.015978973,-0.005059996,-0.0021305145,4000,0,0.011971008,-0.031124434,-10.891224,4000,0
25560000,0.01624527,-0.0047937287,0.005060008,4000,0,-0.0023942022,-0.010773719,-10.851721,4000,0
25564000,0.008522105,-0.0026632003,0.0098536955,4000,0,-0.019153617,0.020350905,-10.874464,4000,0
25568000,0.012783159,0.003195817,0.0066579236,4000,0,-0.053869545,0.028730612,-10.869678,4000,0
25572000,0.016245276,0.0037284554,0.0015978955,4000,0,-0.06105215,0.02274511,-10.844537,4000,0
25576000,0.008788432,-0.0034620895,-0.0029295073,4000,0,-0.021547817,0.016759604,-10.86369,4000,0
25580000,0.0066579054,-0.0002663172,-0.001864206,4000,0,0.0,0.009576999,-10.894817,4000,0
25584000,0.013049488,-0.0007989563,-6.28621e-10,4000,0,0.0,-0.011970818,-10.897211,4000,0
25588000,0.013848439,-0.0095873615,-0.004527413,4000,0,0.005985504,-0.016759224,-10.884041,4000,0
25592000,0.008788459,-0.0026631306,-0.009587364,4000,0,-0.0047884043,0.0047885943,-10.882844,4000,0
25596000,0.009321106,0.010120012,-0.010119975,4000,0,-0.016759416,-0.0059853145,-10.887634,4000,0
25600000,0.011451632,0.017044213,-0.0058589405,4000,0,0.0035913023,-0.029927336,-10.858904,4000,0
25604000,0.007190559,0.021571608,-0.0031957517,4000,0,0.03232173,-0.007182417,-10.8194,4000,0
25608000,0.007723145,0.022104248,-0.00639159,4000,0,0.053869545,0.0059856935,-10.83496,4000,0
25612000,0.015446283,0.010652639,-0.0101201,4000,0,0.05267244,-0.01197082,-10.854114,4000,0
25616000,0.016511543,-0.002130513,-0.01384851,4000,0,0.015562313,-0.002394014,-10.812217,4000,0
25620000,0.013848433,-0.0034620957,-0.014114764,4000,0,-0.008379708,0.004788593,-10.7990465,4000,0
25624000,0.014647368,-0.006924237,-0.011185293,4000,0,0.0047884043,0.0023943905,-10.81102,4000,0
25628000,0.012516823,-0.014381082,-0.007190577,4000,0,0.027533323,0.0023943908,-10.8194,4000,0
25632000,0.0031957491,-0.017576877,0.000532574,4000,0,0.0071826056,-0.004788215,-10.83975,4000,0
25636000,-0.007190547,-0.018642133,0.0023967829,4000,0,-0.014365209,-0.014365022,-10.832567,4000,0
25640000,-0.005326274,-0.019973725,-0.0053263083,4000,0,0.021547817,-0.02394183,-10.799047,4000,0
25644000,0.004527418,-0.0127832,-0.009853645,4000,0,0.022744918,-0.026336033,-10.783486,4000,0
25648000,0.0058589815,-0.00053264137,-0.00665788,4000,0,-0.0011971011,-0.03710994,-10.824186,4000,0
25652000,0.0015979134,0.0069242283,-0.006391574,4000,0,-0.010773908,-0.032321535,-10.857706,4000,0
25656000,-0.0005326264,0.011984233,-0.00852211,4000,0,-0.01436521,0.0023943903,-10.821794,4000,0
