Format Version,1.23,Take Name,Take 2023-04-16 08.31.25 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,180.000000,Capture Start Time,2023-04-16 08.31.25.957 下午,Capture Start Frame,98506,Total Frames in Take,11727,Total Exported Frames,10554,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Frame,Frame,Frame,Frame,Frame,Frame,Frame,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
111,0.616000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035981,0.003514,-0.010999,0.999286,1433.723633,130.481567,2035.910156
112,0.622000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035961,0.003510,-0.010983,0.999287,1433.715698,130.484512,2035.909424
113,0.627000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035967,0.003515,-0.010990,0.999286,1433.722168,130.475342,2035.918213
114,0.633000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035972,0.003525,-0.010988,0.999286,1433.731812,130.470444,2035.918701
115,0.638000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035952,0.003524,-0.010972,0.999287,1433.723755,130.482193,2035.906372
116,0.644000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035967,0.003531,-0.010997,0.999286,1433.723267,130.476120,2035.911621
117,0.650000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035976,0.003523,-0.011014,0.999286,1433.726929,130.482132,2035.905151
118,0.655000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035953,0.003528,-0.010984,0.999287,1433.724487,130.474655,2035.913940
119,0.661000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035963,0.003524,-0.011000,0.999286,1433.715942,130.474945,2035.914673
120,0.666000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035959,0.003513,-0.010998,0.999287,1433.710815,130.472122,2035.918945
121,0.672000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035958,0.003519,-0.010981,0.999287,1433.722900,130.476959,2035.919434
122,0.677000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035937,0.003532,-0.010937,0.999288,1433.722412,130.481903,2035.914429
123,0.683000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035945,0.003536,-0.010963,0.999287,1433.717651,130.474350,2035.916992
