timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
40764000,39252000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
41268000,39252000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
41772000,39252000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
42276000,39252000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
42780000,39252000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
43284000,39252000,0,21408000,23220000,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
43788000,39252000,0,21408000,0,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
44292000,39252000,0,21408000,0,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
44796000,39252000,0,21408000,0,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
45300000,39252000,0,21408000,0,271122476,270598156,271515695,18,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
45792000,39252000,0,0,0,271122476,270598156,271515695,18,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,7
46296000,39252000,0,0,0,271122476,270598156,271515695,18,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,7
